Wavelength_nm,LED365,LED385wide,LED430,LED480,LED535,LED568wide,LED600,LED635,LED680,LED700,LED740,LED765,QE
373.5,0.331537192,0.698193705,0.048565617,0.009794922,0,0,0,0,0,0,0,0,0.15808878
373.6,0.325003872,0.702057151,0.04940218,0.009781728,0,0,0,0,0,0,0,0,0.158083473
373.7,0.318502183,0.705908569,0.050245014,0.009768628,0,0,0,0,0,0,0,0,0.158078232
373.8,0.3120457,0.709747777,0.051094105,0.009755625,0,0,0,0,0,0,0,0,0.158073058
373.9,0.305647999,0.713574592,0.051949436,0.009742727,0,0,0,0,0,0,0,0,0.158067951
374,0.299322654,0.717388832,0.052810991,0.009729938,0,0,0,0,0,0,0,0,0.15806291
374.1,0.29308324,0.721190316,0.053678754,0.009717266,0,0,0,0,0,0,0,0,0.158057936
374.2,0.287162062,0.72497886,0.054552708,0.009704715,0,0,0,0,0,0,0,0,0.158053029
374.3,0.28157195,0.728754283,0.055432837,0.009692291,0,0,0,0,0,0,0,0,0.158048189
374.4,0.276095129,0.732516402,0.056319125,0.00968,0,0,0,0,0,0,0,0,0.158043415
374.5,0.27073032,0.736265035,0.057211556,0.009667848,0,0,0,0,0,0,0,0,0.158038708
374.6,0.265476248,0.74,0.058110114,0.009655841,0,0,0,0,0,0,0,0,0.158034068
374.7,0.260331635,0.743677285,0.059014782,0.009643984,0,0,0,0,0,0,0,0,0.158029494
374.8,0.255295205,0.74734072,0.059925545,0.009632284,0,0,0,0,0,0,0,0,0.158024987
374.9,0.25036568,0.750990305,0.060842386,0.009620746,0,0,0,0,0,0,0,0,0.158020547
375,0.245541785,0.754626039,0.061765288,0.009609375,0,0,0,0,0,0,0,0,0.158016174
375.1,0.240822243,0.758247922,0.062694236,0.009598178,0,0,0,0,0,0,0,0,0.158011867
375.2,0.236205776,0.761855956,0.063629214,0.00958716,0,0,0,0,0,0,0,0,0.158007627
375.3,0.231691108,0.765450139,0.064570205,0.009576328,0,0,0,0,0,0,0,0,0.158003454
375.4,0.227276963,0.769030471,0.065517193,0.009565687,0,0,0,0,0,0,0,0,0.157998912
375.5,0.222962063,0.772596953,0.066470162,0.009555242,0,0,0,0,0,0,0,0,0.15799215
375.6,0.218791083,0.776149584,0.067429096,0.009545,0,0,0,0,0,0,0,0,0.157985456
375.7,0.214825447,0.779688366,0.068393978,0.009534966,0,0,0,0,0,0,0,0,0.157978831
375.8,0.210954615,0.783213296,0.069364793,0.009525147,0,0,0,0,0,0,0,0,0.157972276
375.9,0.207173647,0.786724377,0.070341524,0.009515547,0,0,0,0,0,0,0,0,0.157965792
376,0.203477603,0.790221607,0.071324154,0.009506173,0,0,0,0,0,0,0,0,0.157959381
376.1,0.199861543,0.793704986,0.072312669,0.00949703,0,0,0,0,0,0,0,0,0.157953043
376.2,0.196320525,0.797174515,0.073307051,0.009488125,0,0,0,0,0,0,0,0,0.15794678
376.3,0.192849609,0.800630194,0.074307284,0.009479463,0,0,0,0,0,0,0,0,0.157940592
376.4,0.189443856,0.804072022,0.075313353,0.009471049,0,0,0,0,0,0,0,0,0.157934481
376.5,0.186098324,0.8075,0.07632524,0.009462891,0,0,0,0,0,0,0,0,0.157928448
376.6,0.182808073,0.810914127,0.07734293,0.009454992,0,0,0,0,0,0,0,0,0.157922494
