Wavelength_nm,LED365,LED385wide,LED430,LED480,LED535,LED568wide,LED600,LED635,LED680,LED700,LED740,LED765,QE
356.9,0.466262339,0.069994442,0,0,0,0,0,0,0,0,0,0,0.178167415
357,0.4726917,0.071860329,0,0,0,0,0,0,0,0,0,0,0.178172464
357.1,0.479094265,0.073772142,0,0,0,0,0,0,0,0,0,0,0.178177346
357.2,0.485480959,0.075729698,0,0,0,0,0,0,0,0,0,0,0.178182062
357.3,0.491862708,0.077732815,0,0,0,0,0,0,0,0,0,0,0.178186614
357.4,0.498250438,0.079781309,0,0,0,0,0,0,0,0,0,0,0.178191002
357.5,0.504655073,0.081875,0,0,0,0,0,0,0,0,0,0,0.178195228
357.6,0.511087541,0.084013705,0,0,0,0,0,0,0,0,0,0,0.178199293
357.7,0.517558766,0.086197241,0,0,0,0,0,0,0,0,0,0,0.178203196
357.8,0.524079674,0.088425426,0,0,0,0,0,0,0,0,0,0,0.178206941
357.9,0.530704345,0.090698079,0,0,0,0,0,0,0,0,0,0,0.178210527
358,0.537784891,0.093015017,0,0,0,0,0,0,0,0,0,0,0.178213955
358.1,0.544928656,0.095376057,0,0,0,0,0,0,0,0,0,0,0.178217227
358.2,0.552129585,0.097781018,0,0,0,0,0,0,0,0,0,0,0.178220344
358.3,0.559381626,0.100229716,0,0,0,0,0,0,0,0,0,0,0.178223306
358.4,0.566678725,0.102721971,0,0,0,0,0,0,0,0,0,0,0.178226115
358.5,0.57401483,0.1052576,0,0,0,0,0,0,0,0,0,0,0.178228772
358.6,0.581383887,0.107836419,0,0,0,0,0,0,0,0,0,0,0.178231277
358.7,0.588779844,0.110458248,0,0,0,0,0,0,0,0,0,0,0.178233632
358.8,0.596196647,0.113122904,0,0,0,0,0,0,0,0,0,0,0.178235838
358.9,0.603628244,0.115830205,0,0,0,0,0,0,0,0,0,0,0.178237896
359,0.611068581,0.118579968,0,0,0,0,0,0,0,0,0,0,0.178239806
359.1,0.618511605,0.121372011,0,0,0,0,0,0,0,0,0,0,0.17824157
359.2,0.625700733,0.124206153,0,0,0,0,0,0,0,0,0,0,0.178243189
359.3,0.632827082,0.12708221,0,0,0,0,0,0,0,0,0,0,0.178244664
359.4,0.639959805,0.13,0,0,0,0,0,0,0,0,0,0,0.178245995
359.5,0.647105212,0.13309083,0,0,0,0,0,0,0,0,0,0,0.178247185
359.6,0.654269617,0.136222481,0,0,0,0,0,0,0,0,0,0,0.178248233
359.7,0.661459331,0.139394227,0,0,0,0,0,0,0,0,0,0,0.178249141
359.8,0.668680666,0.142605336,0,0,0,0,0,0,0,0,0,0,0.17824991
359.9,0.675939934,0.145855081,0,0,0,0,0,0,0,0,0,0,0.178250541
360,0.683243447,0.149142732,5.55E-17,0.01,0,0,0,0,0,0,0,0,0.178251035
360.1,0.690597517,0.152467561,-0.000158888,0.010027432,0,0,0,0,0,0,0,0,0.178251393
360.2,0.698008456,0.155828838,-0.000309318,0.010054174,0,0,0,0,0,0,0,0,0.178251616
360.3,0.705482575,0.159225835,-0.000451305,0.010080234,0,0,0,0,0,0,0,0,0.178251705
360.4,0.712944184,0.162657822,-0.000584866,0.010105617,0,0,0,0,0,0,0,0,0.178251661
360.5,0.720373005,0.166124071,-0.000710016,0.010130329,0,0,0,0,0,0,0,0,0.178251485
360.6,0.727913689,0.169623852,-0.000826773,0.010154375,0,0,0,0,0,0,0,0,0.178251178
360.7,0.735583986,0.173156437,-0.000935152,0.010177761,0,0,0,0,0,0,0,0,0.178250741
360.8,0.74340165,0.176721096,-0.001035169,0.010200494,0,0,0,0,0,0,0,0,0.178250176
360.9,0.751384433,0.180317102,-0.00112684,0.010222578,0,0,0,0,0,0,0,0,0.178249482
361,0.759550087,0.183943724,-0.001210183,0.01024402,0,0,0,0,0,0,0,0,0.178248662
361.1,0.767916364,0.187600233,-0.001285212,0.010264825,0,0,0,0,0,0,0,0,0.178247715
361.2,0.776501017,0.191285902,-0.001351944,0.010285,0,0,0,0,0,0,0,0,0.178246644
361.3,0.785891009,0.195,-0.001410396,0.01030455,0,0,0,0,0,0,0,0,0.178245449
361.4,0.7958735,0.198741799,-0.001460584,0.01032348,0,0,0,0,0,0,0,0,0.178244132
361.5,0.806013323,0.20251057,-0.001502523,0.010341797,0,0,0,0,0,0,0,0,0.178242692
361.6,0.816255276,0.206305584,-0.00153623,0.010359506,0,0,0,0,0,0,0,0,0.178241132
361.7,0.826544153,0.210126112,-0.001561721,0.010376614,0,0,0,0,0,0,0,0,0.178239452
361.8,0.836824749,0.213971424,-0.001579013,0.010393125,0,0,0,0,0,0,0,0,0.178237654
361.9,0.847041859,0.217840793,-0.001588121,0.010409046,0,0,0,0,0,0,0,0,0.178235737
362,0.857140279,0.221733489,-0.001589061,0.010424383,0,0,0,0,0,0,0,0,0.178233704
362.1,0.867064805,0.225648783,-0.001581851,0.010439141,0,0,0,0,0,0,0,0,0.178231556
362.2,0.876336823,0.229585945,-0.001566506,0.010453326,0,0,0,0,0,0,0,0,0.178229293
362.3,0.885176134,0.233544248,-0.001543042,0.010466943,0,0,0,0,0,0,0,0,0.178226916
362.4,0.893756836,0.237522963,-0.001511476,0.01048,0,0,0,0,0,0,0,0,0.178224426
362.5,0.902070393,0.241521359,-0.001471823,0.010492501,0,0,0,0,0,0,0,0,0.178221826
362.6,0.910108274,0.245538708,-0.0014241,0.010504452,0,0,0,0,0,0,0,0,0.178219114
